astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits
100258,2013-07-01,037833100,US0378331005,AAPL,1.28
100258,2013-07-02,037833100,US0378331005,AAPL,1.02
100258,2013-07-03,037833100,US0378331005,AAPL,1.18
100258,2013-07-04,037833100,US0378331005,AAPL,1.15
100258,2013-07-05,037833100,US0378331005,AAPL,1.14
100258,2013-07-08,037833100,US0378331005,AAPL,1.05
100258,2013-07-09,037833100,US0378331005,AAPL,1.06
100258,2013-07-10,037833100,US0378331005,AAPL,1.07
100258,2013-07-11,037833100,US0378331005,AAPL,1.1
100258,2013-07-12,037833100,US0378331005,AAPL,1.08
100258,2013-07-15,037833100,US0378331005,AAPL,1.05
100258,2013-07-16,037833100,US0378331005,AAPL,0.08
100258,2013-07-17,037833100,US0378331005,AAPL,1.08
100258,2013-07-18,037833100,US0378331005,AAPL,1.09
100258,2013-07-19,037833100,US0378331005,AAPL,1.12
100258,2013-07-22,037833100,US0378331005,AAPL,1.11
100258,2013-07-23,037833100,US0378331005,AAPL,0.01
100258,2013-07-24,037833100,US0378331005,AAPL,1.07
100258,2013-07-25,037833100,US0378331005,AAPL,0.0
100258,2013-07-26,037833100,US0378331005,AAPL,0.01
100258,2013-07-29,037833100,US0378331005,AAPL,0.04
100258,2013-07-30,037833100,US0378331005,AAPL,0.02
100258,2013-07-31,037833100,US0378331005,AAPL,0.0
100258,2013-08-01,037833100,US0378331005,AAPL,0.06
100258,2013-08-02,037833100,US0378331005,AAPL,0.0
100258,2013-08-05,037833100,US0378331005,AAPL,0.0
100258,2013-08-06,037833100,US0378331005,AAPL,0.0
100258,2013-08-07,037833100,US0378331005,AAPL,0.0
100258,2013-08-08,037833100,US0378331005,AAPL,0.24
100258,2013-08-09,037833100,US0378331005,AAPL,0.05
100258,2013-08-12,037833100,US0378331005,AAPL,1.87
100258,2013-08-13,037833100,US0378331005,AAPL,0.78
100258,2013-08-14,037833100,US0378331005,AAPL,0.0
100258,2013-08-15,037833100,US0378331005,AAPL,0.14
100258,2013-08-16,037833100,US0378331005,AAPL,0.14
100258,2013-08-19,037833100,US0378331005,AAPL,0.0
100258,2013-08-20,037833100,US0378331005,AAPL,0.01
100258,2013-08-21,037833100,US0378331005,AAPL,0.2
100258,2013-08-22,037833100,US0378331005,AAPL,1.37
100258,2013-08-23,037833100,US0378331005,AAPL,1.17
100258,2013-08-26,037833100,US0378331005,AAPL,1.14
